dept,zfrr_share
01,0.023017902813299233
02,0.685069008782936
03,0.8832807570977917
04,1.0
05,0.9938271604938271
06,0.2392638036809816
07,0.5611940298507463
08,0.843400447427293
09,1.0
10,0.6728538283062645
11,0.812933025404157
12,1.0
13,0.05042016806722689
14,0.32129277566539927
15,1.0
16,0.7771587743732591
17,0.6471861471861472
18,0.7797202797202797
19,0.8989169675090253
21,0.40257879656160456
22,0.31976744186046513
23,1.0
24,0.8767395626242545
25,0.10479573712255773
26,0.6132596685082873
27,0.2923076923076923
28,0.25895316804407714
29,0.23104693140794225
2A,0.6290322580645161
2B,0.9745762711864406
30,0.44857142857142857
31,0.5307167235494881
32,1.0
33,0.50187265917603
34,0.4252199413489736
35,0.2620481927710843
36,0.995850622406639
37,0.5147058823529411
38,0.212890625
39,0.17479674796747968
40,0.6330275229357798
41,0.46441947565543074
42,0.35
43,0.9066147859922179
44,0.2028985507246377
45,0.3476923076923077
46,1.0
47,0.7304075235109718
48,1.0
49,0.3977272727272727
50,0.5370786516853933
51,0.41475409836065574
52,1.0
53,0.7583333333333333
54,0.2470389170896785
55,1.0
56,0.43775100401606426
57,0.13379310344827586
58,0.9967637540453075
59,0.07882534775888717
60,0.2411764705882353
61,0.8582677165354331
62,0.3697857948139797
63,0.6976241900647948
64,0.5577981651376147
65,0.7164179104477612
66,0.6061946902654868
67,0.017509727626459144
68,0.00273224043715847
69,0.07894736842105263
70,0.7425373134328358
71,0.46714031971580816
72,0.7159090909090909
73,0.06227106227106227
74,0.0
75,0.0
76,0.24893917963224893
77,0.08678500986193294
78,0.0
79,0.8373015873015873
80,0.6523994811932555
81,0.732484076433121
82,0.7282051282051282
83,0.20261437908496732
84,0.39072847682119205
85,0.3794466403162055
86,0.7283018867924528
87,0.6512820512820513
88,0.6758893280632411
89,0.640661938534279
90,0.0
91,0.0
92,0.0
93,0.0
94,0.0
95,0.0
971,0.0
972,0.0
973,1.0
974,0.125
976,0.0
