series_key;time_period;time_period_start;time_period_end;obs_value;updated_at;dataset_id;title_fr;title_long_fr;FREQ;REF_AREA;ADJUSTMENT;DIREN_OBJET;DIREN_THECO;DIREN_MESURE;DIREN_NATURE;DIREN_SECTACT;DIREN_TAILLENT;UNIT;DECIMALS;UNIT_MULT;COLLECTION;TIME_FORMAT;SOURCE_AGENCY;OBS_CONF;OBS_STATUS
DIREN.A.FR.BI.LME.FX.07.N.RS.TT;2021;2021-01-01;2021-12-31;5,1;2025-11-14T13:00:08+00:00;DIREN;Bilans d'Entreprises, Impôts de production, Services aux ménages, Toutes tailles, Critères LME, Taux de croissance en glissement annuel, Brut;Bilans d'Entreprises, Impôts de production, Services aux ménages, Toutes tailles, Critères de la loi de modernisation de l'économie, Taux de croissance en glissement annuel, Brut;A;FR;N;FX;BI;07;LME;RS;TT;PCCH;1;0;E;P1Y;FR2;F;A
DIREN.A.FR.BI.LME.NC.05.N.ZZ.PH;2021;2021-01-01;2021-12-31;16,0;2025-11-14T13:00:08+00:00;DIREN;Bilans d'Entreprises, Taux d'endettement financier net, Tous secteurs, PME hors micro, Critères LME, Ratio moyen, Brut;Bilans d'Entreprises, Taux d'endettement financier net, Tous secteurs, PME hors microentreprises, Critères de la loi de modernisation de l'économie, Ratio moyen, Brut;A;FR;N;NC;BI;05;LME;ZZ;PH;PC;1;0;E;P1Y;FR2;F;A
DIREN.A.FR.BI.LME.OB.05.N.ZZ.MO;2021;2021-01-01;2021-12-31;1,0;2025-11-14T13:00:08+00:00;DIREN;Bilans d'Entreprises, Part des dettes obligataires dans le total des dettes bancaires, obligataires et de crédit-bail, Tous secteurs, Micro, Critères LME, Ratio moyen, Brut;Bilans d'Entreprises, Part des dettes obligataires dans le total des dettes bancaires, Tous secteurs, Microentreprises, Critères de la loi de modernisation de l'économie, Ratio moyen, Brut;A;FR;N;OB;BI;05;LME;ZZ;MO;PC;1;0;E;P1Y;FR2;F;A
DIREN.A.FR.BI.LME.OB.05.N.ZZ.PH;2021;2021-01-01;2021-12-31;4,9;2025-11-14T13:00:08+00:00;DIREN;Bilans d'Entreprises, Part des dettes obligataires dans le total des dettes bancaires, obligataires et de crédit-bail, Tous secteurs, PME hors micro, Critères LME, Ratio moyen, Brut;Bilans d'Entreprises, Part des dettes obligataires dans le total des dettes bancaires, Tous secteurs, PME hors microentreprises, Critères de la loi de modernisation de l'économie, Ratio moyen, Brut;A;FR;N;OB;BI;05;LME;ZZ;PH;PC;1;0;E;P1Y;FR2;F;A
DIREN.A.FR.BI.LME.RF.05.N.ZZ.MO;2021;2021-01-01;2021-12-31;14,6;2025-11-14T13:00:08+00:00;DIREN;Bilans d'Entreprises, Rentabilité financière des capitaux propres, Tous secteurs, Micro, Critères LME, Ratio moyen, Brut;Bilans d'Entreprises, Rentabilité financière des capitaux propres, Tous secteurs, Microentreprises, Critères de la loi de modernisation de l'économie, Ratio moyen, Brut;A;FR;N;RF;BI;05;LME;ZZ;MO;PC;1;0;E;P1Y;FR2;F;A
DIREN.A.FR.BI.LME.TN.10.N.DE.TT;2021;2021-01-01;2021-12-31;135,8;2025-11-14T13:00:08+00:00;DIREN;Bilans d'Entreprises, Trésorerie (en j de CA), Industries extractives, énergie, eau, déchets, Toutes tailles, Critères LME, Médiane, Brut;Bilans d'Entreprises, Trésorerie (en jours de chiffre d'affaires), Industries extractives, énergie, eau, déchets, Toutes tailles, Critères de la loi de modernisation de l'économie, Médiane, Brut;A;FR;N;TN;BI;10;LME;DE;TT;JRCA;1;0;E;P1Y;FR2;F;A
DIREN.A.FR.BI.LME.TN.10.N.G.TT;2021;2021-01-01;2021-12-31;56,5;2025-11-14T13:00:08+00:00;DIREN;Bilans d'Entreprises, Trésorerie (en j de CA), Commerce et réparation automobile, Toutes tailles, Critères LME, Médiane, Brut;Bilans d'Entreprises, Trésorerie (en jours de chiffre d'affaires), Commerce et réparation automobile, Toutes tailles, Critères de la loi de modernisation de l'économie, Médiane, Brut;A;FR;N;TN;BI;10;LME;G;TT;JRCA;1;0;E;P1Y;FR2;F;A
DIREN.A.FR.BI.LME.TN.10.N.LZ.TT;2021;2021-01-01;2021-12-31;100,0;2025-11-14T13:00:08+00:00;DIREN;Bilans d'Entreprises, Trésorerie (en j de CA), Activités immobilières, Toutes tailles, Critères LME, Médiane, Brut;Bilans d'Entreprises, Trésorerie (en jours de chiffre d'affaires), Activités immobilières, Toutes tailles, Critères de la loi de modernisation de l'économie, Médiane, Brut;A;FR;N;TN;BI;10;LME;LZ;TT;JRCA;1;0;E;P1Y;FR2;F;A
DIREN.A.FR.BI.LME.TN.10.N.ZZ.PH;2021;2021-01-01;2021-12-31;67,4;2025-11-14T13:00:08+00:00;DIREN;Bilans d'Entreprises, Trésorerie (en j de CA), Tous secteurs, PME hors microentreprises, Critères LME, Médiane, Brut;Bilans d'Entreprises, Trésorerie (en jours de chiffre d'affaires), Tous secteurs, PME hors microentreprises, Critères de la loi de modernisation de l'économie, Médiane, Brut;A;FR;N;TN;BI;10;LME;ZZ;PH;JRCA;1;0;E;P1Y;FR2;F;A
DIREN.A.FR.BI.LME.VA.07.N.ZZ.PH;2021;2021-01-01;2021-12-31;12,0;2025-11-14T13:00:08+00:00;DIREN;Bilans d'Entreprises, Valeur ajoutée, Tous secteurs, PME hors micro, Critères LME, Taux de croissance en glissement annuel, Brut;Bilans d'Entreprises, Valeur ajoutée, Tous secteurs, PME hors microentreprises, Critères de la loi de modernisation de l'économie, Taux de croissance en glissement annuel, Brut;A;FR;N;VA;BI;07;LME;ZZ;PH;PC;1;0;E;P1Y;FR2;F;A
